"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ttc30b",500.769519188666,-0.493096373459722,0.102722395731615,-4.80028108717448,1.58443086488227e-06,9.35828870440315e-06
"Mtch2",2245.25022696213,0.278388524136461,0.0582676487198775,4.77775455595983,1.77263568885439e-06,1.04185793673354e-05
"Lrsam1",729.624564744495,-0.433844620751074,0.0908704900396167,-4.77431804936819,1.80317222841738e-06,1.05463585457192e-05
"Dpp4",510.936210943825,-1.50410095987565,0.316586170158185,-4.75100020674976,2.02412925476749e-06,1.17812183323603e-05
"Edf1",2043.61229321759,0.402093689572849,0.0847252019653381,4.74585696163167,2.07625401976507e-06,1.2026224974388e-05
"Ckap5",1882.12844259904,0.338469024558714,0.0716216094377661,4.72579473172575,2.29217105661261e-06,1.32130437349929e-05
"Src",1674.28028702265,0.511235637417761,0.108581247494397,4.70832348324366,2.49762517431512e-06,1.43284812631762e-05
"Hnmt",202.900788436213,-0.822551384220876,0.174810936024093,-4.70537715161887,2.53397057913382e-06,1.43991977458836e-05
"Apip",434.731977447511,0.406198066069088,0.0863164697113853,4.70591611806281,2.5272842676855e-06,1.43991977458836e-05
"Hspa12b",591.272415082767,-0.534286158646079,0.113703006997802,-4.6989624351483,2.61486540101327e-06,1.47887906406363e-05
"Cd40",1036.04488837029,-0.632926613131964,0.134815055746629,-4.69477692700351,2.66897817601084e-06,1.50239663522864e-05
"Eif3m",1757.46389884658,0.328713028165133,0.0701998392689249,4.68253248993753,2.83352258748107e-06,1.58756709457467e-05
"Slc2a6",12.7400380340673,3.28584612872205,0.703523116476832,4.6705588654673,3.00381387112741e-06,1.67515015417757e-05
"Aqr",1832.45845827656,0.226209207511078,0.0485290578467446,4.66131463391376,3.1419597233693e-06,1.74407856866657e-05
"Zdhhc12",155.546624542867,0.606084476020002,0.130209457616757,4.65468858494042,3.24470740247046e-06,1.79281298412999e-05
"Lpcat4",111.093069914549,1.00765033571457,0.217657009528235,4.62953312598855,3.66491096722474e-06,2.01570103197361e-05
"Xrn2",1540.00296590152,0.330359053180137,0.0715562869951298,4.61677187362477,3.89755309614088e-06,2.13386582752188e-05
"Slc17a9",50.0288611431302,1.52212132325453,0.330158064491515,4.610280610891,4.02125809655478e-06,2.18166898541592e-05
"Snx21",674.704454635036,-0.555617106042745,0.120500138454211,-4.61092504266188,4.00881079300799e-06,2.18166898541592e-05
"Pkn3",36.2366872571144,2.10899398072297,0.457594756131492,4.60886833265402,4.0486661434884e-06,2.18664446218135e-05
"Mavs",1021.95632936581,-0.227112378324492,0.0492983657057288,-4.60689467233394,4.08726900352386e-06,2.19759441041485e-05
