"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pkp4",766.49906217336,0.559508247022579,0.098584782528273,5.67540174734491,1.38363541856429e-08,1.15206865754069e-07
"Sord",1167.13085388329,0.656702412982678,0.115935783715741,5.66436342547031,1.47571343941817e-08,1.22026235438785e-07
"Lpcat4",111.093069914549,-1.27271212933501,0.225092765359743,-5.65416719325013,1.56603716176954e-08,1.28608120339841e-07
"Zhx3",1663.56167305429,0.627945467381618,0.111145425802005,5.64976437717051,1.60667908480319e-08,1.31048178413539e-07
"Hnrnpa3",8681.54729670786,-0.667946053236275,0.118745806265531,-5.62500752020382,1.85499893301202e-08,1.50279981127123e-07
"Ptprj",404.541642152821,-0.807436845979206,0.143668302176771,-5.6201460847343,1.90796059778165e-08,1.53533205150349e-07
"Ptrh1",126.437169544758,-0.854817521882136,0.152400517082314,-5.60901982649072,2.03475715207959e-08,1.62644921689562e-07
"Fam73b",1396.146663978,0.580676062833132,0.103959332465482,5.58560784358571,2.32884215744386e-08,1.84919320978489e-07
"Ttl",1083.33690233389,0.448322365456301,0.0804036834802401,5.57589336770224,2.46262747293573e-08,1.94255943424338e-07
"Pfkfb3",4499.3918709943,0.927552508468752,0.167152068476984,5.54915363549015,2.87055842819377e-08,2.24954219307472e-07
"Tgif2",295.073216508498,-0.676873667243605,0.122137955143003,-5.54187816924804,2.99244484460043e-08,2.32983205758176e-07
"2900097C17Rik",8268.06688998805,0.307697119160392,0.0558135157190828,5.51294995837701,3.5286858697905e-08,2.72960926314762e-07
"Dpp7",1165.99435687651,0.448227381101967,0.0814874676493261,5.50056829635292,3.78569077336466e-08,2.9096431008104e-07
"Pla2r1",4418.73536281797,0.450172162246862,0.0819915341804491,5.49047126324178,4.00862710765261e-08,3.06136554272324e-07
"Crat",1458.37613217771,0.265564251416885,0.0484600546189567,5.48006504542819,4.25169499261569e-08,3.22644449123178e-07
"Rpl35",5275.63805546591,-0.501896164719879,0.0918804196095951,-5.4624931715861,4.69493598506576e-08,3.54039512332946e-07
